District,Location,Types of Operating Hours,"For Vehicles Other Than Medium and Heavy Goods Vehicles, Buses, Motor Cycles and Pedal Cycles ",For Goods Vehicles,For Coaches
SOUTHERN,AP LEI CHAU PRAYA ROAD,H,37,8,8
SOUTHERN,BEACH ROAD (REPULSE BAY BEACH ROAD),D,19,0,3
SOUTHERN,BEACH ROAD CAR PARK,D,26,0,0
SOUTHERN,BIG WAVE BAY ROAD,H,42,0,0
SOUTHERN,BIG WAVE BAY ROAD CAR PARK,H,50,2,3
SOUTHERN,CARMAL ROAD,F,2,0,0
SOUTHERN,CYBERPORT ROAD,D,2,0,0
SOUTHERN,HUNG SHING STREET,D,2,0,0
SOUTHERN,INFORMATION CRESCENT,H,28,0,2
SOUTHERN,ISLAND ROAD,D,79,0,0
SOUTHERN,KA WO STREET,J,6,0,0
SOUTHERN,LEE KING STREET,H,12,0,0
SOUTHERN,LEE NAM ROAD,H,0,2,0
SOUTHERN,NORTHCOTE CLOSE,J,2,0,0
SOUTHERN,PING LAN STREET,D,5,0,0
SOUTHERN,SAN SHI STREET,D,3,0,0
SOUTHERN,SHEK O HEADLAND ROAD,H,7,0,0
SOUTHERN,SHEK PAI WAN ROAD CAR PARK,D,5,0,0
SOUTHERN,SOUTH BAY ROAD,D,54,0,0
SOUTHERN,St. STEPHEN'S BEACH,D,8,0,0
SOUTHERN,STANLEY BEACH ROAD,D,18,0,4
SOUTHERN,STANLEY BEACH ROAD CAR PARK,D,39,0,0
SOUTHERN,STANLEY BEACH ROAD CAR PARK,F,17,0,0
SOUTHERN,STANLEY LINK ROAD,D,5,0,0
SOUTHERN,STANLEY MOUNT ROAD,D,32,0,3
SOUTHERN,STANLEY MOUNT ROAD,H,3,0,0
SOUTHERN,TAI TAM RESERVOIR ROAD,H,3,0,0
SOUTHERN,TAI TAM ROAD,D,19,0,0
SOUTHERN,TIN WAN HILL ROAD ,H,0,0,5
SOUTHERN,TIN WAN STREET,D,4,0,0
SOUTHERN,TIN WAN STREET,H,0,4,0
SOUTHERN,TONG BIN LANE,D,16,0,0
SOUTHERN,WONG MA KOK PATH,D,18,0,0
SOUTHERN,WONG MA KOK ROAD,F,4,0,0
SOUTHERN,YIP FAT STREET,D,3,0,0
SOUTHERN,YIP FAT STREET CAR PARK,D,6,0,0
SOUTHERN,YIP FAT STREET CAR PARK,H,0,4,0
SOUTHERN,YIP HING STREET,H,0,22,0
SOUTHERN,YUE KWONG ROAD,D,18,0,0
SOUTHERN,YUE KWONG ROAD,H,0,7,8
SOUTHERN,YUE LEI STREET,H,0,2,0
WAN CHAI,BOWRINGTON ROAD,D,4,0,0
WAN CHAI,BRIAR AVENUE,D,25,0,0
WAN CHAI,BROOM ROAD,D,6,0,0
WAN CHAI,BROWN STREET,D,6,0,0
WAN CHAI,BURROWS STREET,D,2,0,0
WAN CHAI,CAROLINE HILL ROAD,B,0,5,0
WAN CHAI,CAROLINE HILL ROAD,J,13,0,0
WAN CHAI,CHEONG MING STREET,D,10,0,0
WAN CHAI,COOMBE ROAD CAR PARK ,D,22,0,5
WAN CHAI,EXPO DRIVE,D,0,0,3
WAN CHAI,GLOUCESTER ROAD,J,0,0,3
WAN CHAI,GREEN LANE,D,4,0,0
WAN CHAI,HAWTHORN ROAD,D,3,0,0
WAN CHAI,HING WAN STREET,D,7,0,0
WAN CHAI,HOLLY ROAD,D,3,0,0
WAN CHAI,HUNG HING ROAD,D,24,0,0
WAN CHAI,JAFFE ROAD,D,129,0,0
WAN CHAI,KAT ON STREET,D,7,0,0
WAN CHAI,KENNEDY ROAD CAR PARK 1,D,8,0,0
WAN CHAI,KENNEDY ROAD CAR PARK 2,D,8,0,0
WAN CHAI,KING STREET,D,13,0,0
WAN CHAI,KWAI FONG STREET,D,6,0,0
WAN CHAI,LAI YIN STREET,D,5,0,0
WAN CHAI,LANDALE STREET,D,5,0,0
WAN CHAI,LAU LI STREET,D,1,0,0
